"","ex2.genres"
"1","Action,Thriller,Science Fiction,Mystery,Adventure"
"2","Drama,Action,Crime,Thriller"
"3","Action,Adventure,Fantasy,Science Fiction"
"4","Science Fiction,Action,Adventure"
"5","Action,Adventure,Comedy"
"6","Adventure,Drama,Science Fiction"
"7","Drama,Western"
"8","Action,Science Fiction,Adventure"
"9","Drama"
"10","Science Fiction,Adventure,Fantasy"
"11","Action,Adventure,Science Fiction,Thriller"
"12","Action,Crime,Drama,Thriller"
"13","Action,Science Fiction"
"14","Action,Science Fiction,Adventure"
"15","Action,Adventure,Science Fiction"
"16","Adventure,Fantasy,Action"
"17","Action,Adventure,Science Fiction,Thriller"
"18","Thriller,Crime"
"19","Adventure,Fantasy,Action"
"20","Drama,Crime"
"21","Adventure,Fantasy,Action"
"22","Comedy,Drama,Romance"
"23","Action,Adventure,Science Fiction,Fantasy"
"24","Drama,Romance,Thriller"
"25","Action,Adventure,Thriller"
"26","Action,Adventure,Crime,Fantasy,Science Fiction"
"27","Adventure,Fantasy,Action"
"28","Action,Crime,Drama"
"29","Adventure,Action,Science Fiction"
"30","Drama,Adventure,Science Fiction"
"31","Adventure,Fantasy,Action"
"32","Action,Adventure,Fantasy"
"33","Adventure,Fantasy,Family"
"34","Action,Adventure,Science Fiction"
"35","Animation,Comedy,Family,Adventure"
"36","Adventure,Action,Science Fiction"
"37","Action,Adventure,Science Fiction"
"38","Adventure,Action,Science Fiction"
"39","Crime,Drama,Comedy"
"40","Drama,Comedy,Animation,Family"
"41","Action,Adventure,Fantasy"
"42","Adventure,Fantasy,Action"
"43","Adventure,Action,Science Fiction"
"44","Drama,Action,Thriller,War"
"45","Animation,Family"
"46","Drama,Thriller,Mystery"
"47","Western,Drama,Adventure,Thriller"
"48","Action,Adventure,Fantasy,Science Fiction"
"49","Animation,Family"
"50","Comedy"
"51","Action,Drama,Science Fiction"
"52","Animation,Family"
"53","Adventure,Family,Animation,Action,Comedy"
"54","Adventure,Comedy,Science Fiction,Family"
"55","Action,Adventure,Fantasy,Science Fiction"
"56","Animation,Comedy,Family"
"57","Family,Fantasy,Adventure"
"58","Crime,Comedy,Action,Adventure"
"59","Action,Science Fiction"
"60","Adventure,Fantasy,Family"
"61","Science Fiction,Action,Adventure"
"62","Drama,Crime"
"63","Mystery,Thriller,Drama"
"64","Adventure,Action,Science Fiction"
"65","Adventure,Fantasy,Family"
"66","Crime,Mystery,Thriller"
"67","Adventure,Drama,Action"
"68","History,Drama,Thriller,War"
"69","Action,Adventure,Crime,Mystery"
"70","Action,Adventure,Science Fiction"
"71","Action,Adventure,Fantasy,Science Fiction"
"72","Science Fiction,Thriller,Drama"
"73","Science Fiction,Adventure,Thriller"
"74","Adventure,Fantasy,Family"
"75","Thriller,Drama,Science Fiction,Mystery"
"76","Adventure,Fantasy,Family"
"77","Action,Drama,Horror,Science Fiction,Thriller"
"78","Thriller,Crime"
"79","Adventure,Fantasy,Family,Mystery"
"80","Adventure,Family,Fantasy"
"81","Action,Drama,Adventure"
"82","Action,Mystery,Science Fiction,Thriller"
"83","Family,Fantasy,Romance"
"84","Family,Animation,Drama"
"85","Action,Thriller"
"86","Animation,Adventure,Family"
"87","Adventure,Fantasy,Family"
"88","Animation,Comedy,Family"
"89","Drama,Comedy"
"90","Fantasy,Action"
"91","Adventure,Fantasy,Action"
"92","Action,Adventure,Animation,Family"
"93","Action,Thriller,Crime"
"94","Action,Science Fiction,Adventure"
"95","Science Fiction,Adventure,Mystery"
"96","Drama,History,War"
"97","Action,Adventure,Science Fiction"
"98","Action,Adventure,War"
"99","Action,Crime"
"100","Adventure,Action,Fantasy"
