"","id","imdb_id","release_date","runtime","title","vote_average","vote_count"
"15481",27205,"tt1375666","2010-07-14",148,"Inception",8.1,14075
"12482",155,"tt0468569","2008-07-16",152,"The Dark Knight",8.3,12269
"14552",19995,"tt0499549","2009-12-10",162,"Avatar",7.2,12114
"17819",24428,"tt0848228","2012-04-25",143,"The Avengers",7.4,12000
"26565",293660,"tt1431045","2016-02-09",108,"Deadpool",7.4,11444
"22880",157336,"tt0816692","2014-11-05",169,"Interstellar",8.1,11187
"20052",68718,"tt1853728","2012-12-25",165,"Django Unchained",7.8,10297
"23754",118340,"tt2015381","2014-07-30",121,"Guardians of the Galaxy",7.9,10014
"2844",550,"tt0137523","1999-10-15",139,"Fight Club",8.3,9678
"18245",70160,"tt1392170","2012-03-12",142,"The Hunger Games",6.9,9634
"26554",76341,"tt1392190","2015-05-13",120,"Mad Max: Fury Road",7.3,9629
"18253",49026,"tt1345836","2012-07-16",165,"The Dark Knight Rises",7.6,9263
"2459",603,"tt0133093","1999-03-30",136,"The Matrix",7.9,9079
"12589",1726,"tt0371746","2008-04-30",126,"Iron Man",7.4,8951
"20831",68721,"tt1300854","2013-04-18",130,"Iron Man 3",6.8,8951
"4864",120,"tt0120737","2001-12-18",178,"The Lord of the Rings: The Fellowship of the Ring",8,8892
"25085",135397,"tt0369610","2015-06-09",124,"Jurassic World",6.5,8842
"293",680,"tt0110912","1994-09-10",154,"Pulp Fiction",8.3,8670
"19972",49051,"tt0903624","2012-11-26",169,"The Hobbit: An Unexpected Journey",7,8427
"315",278,"tt0111161","1994-09-23",142,"The Shawshank Redemption",8.5,8358
"7001",122,"tt0167260","2003-12-01",201,"The Lord of the Rings: The Return of the King",8.1,8226
"352",13,"tt0109830","1994-07-06",142,"Forrest Gump",8.2,8147
"26556",140607,"tt2488496","2015-12-15",136,"Star Wars: The Force Awakens",7.5,7993
"1640",597,"tt0120338","1997-11-18",194,"Titanic",7.5,7770
"19262",37724,"tt1074638","2012-10-25",143,"Skyfall",6.9,7718
"30544",297761,"tt1386697","2016-08-02",123,"Suicide Squad",5.9,7717
"5815",121,"tt0167261","2002-12-18",179,"The Lord of the Rings: The Two Towers",8,7641
"10123",272,"tt0372784","2005-06-10",140,"Batman Begins",7.5,7511
"26568",271110,"tt3498820","2016-04-27",147,"Captain America: Civil War",7.1,7462
"30052",286217,"tt3659388","2015-09-30",141,"The Martian",7.6,7442
"6391",22,"tt0325980","2003-07-09",143,"Pirates of the Caribbean: The Curse of the Black Pearl",7.5,7191
"31073",209112,"tt2975590","2016-03-23",151,"Batman v Superman: Dawn of Justice",5.7,7189
"4767",671,"tt0241527","2001-11-16",152,"Harry Potter and the Philosopher's Stone",7.5,7188
"17445",1771,"tt0458339","2011-07-22",124,"Captain America: The First Avenger",6.6,7174
"13725",14160,"tt1049413","2009-05-13",96,"Up",7.8,7048
