"0","ex2.tagline"
"1","Your mind is the scene of the crime."
"2","Why So Serious?"
"3","Enter the World of Pandora."
"4","Some assembly required."
"5","Witness the beginning of a happy ending"
"6","Mankind was born on Earth. It was never meant to die here."
"7","Life, liberty and the pursuit of vengeance."
"8","All heroes start somewhere."
"9","Mischief. Mayhem. Soap."
"10","May The Odds Be Ever In Your Favor."
"11","What a Lovely Day."
"12","The Legend Ends"
"13","Welcome to the Real World."
"14","Heroes aren't born. They're built."
"15","Unleash the power behind the armor."
"16","One ring to rule them all"
"17","The park is open."
"18","Just because you are a character doesn't mean you have character."
"19","From the smallest beginnings come the greatest legends."
"20","Fear can hold you prisoner. Hope can set you free."
"21","The eye of the enemy is moving."
"22","The world will never be the same, once you've seen it through the eyes of Forrest Gump."
"23","Every generation has a story."
"24","Nothing on Earth could come between them."
"25","Think on your sins."
"26","Worst Heroes Ever"
"27","A New Power Is Rising."
"28","Evil fears the knight."
"29","Divided We Fall"
"30","Bring Him Home"
"31","Prepare to be blown out of the water."
"32","Justice or revenge"
"33","Let the Magic Begin."
"34","When patriots become heroes"
"35"," "
"36","It's not the armor that makes the hero, but the man inside."
"37","A New Age Has Come."
"38","A long time ago in a galaxy far, far away..."
"39","EARN. SPEND. PARTY."
"40","Meet the little voices inside your head."
"41","The untold story begins."
"42","Two worlds. One hero."
"43","Every revolution begins with a spark."
"44","Once upon a time in Nazi occupied France..."
"45","Superbad. Superdad."
"46","Someone is missing."
"47","(n. One who has returned, as if from the dead.)"
"48","You will believe that a man can fly."
"49","An adventure beyond the ordinar-E."
"50","Some guys just can't handle Vegas."
"51","His time has come"
"52","There are 3.7 trillion fish in the ocean. They're looking for one."
"53","From the creators of Wreck-it Ralph and Frozen"
"54","He's the only kid ever to get into trouble before he was born."
"55","To save the future, they must alter the past"
"56","We Scare Because We Care."
"57","It all ends here."
"58","Manners maketh man."
"59","The average person uses 10% of their brain capacity. Imagine what she could do with 100%."
"60","Something wicked this way comes."
"61","Heroes don't get any bigger."
"62","An offer you can't refuse."
"63","You don't know what you've got 'til it's..."
"64","The Adventure Continues..."
"65","Hogwarts is back in session."
"66","Seven deadly sins. Seven ways to die."
"67","Believe The Unbelievable"
"68","The true enigma was the man who cracked the code."
"69","Nothing escapes him."
"70","In heroes we trust."
"71","Open your mind. Change your reality."
"72","Don't Let Go"
"73","Fire burns brighter in the darkness"
"74","Dark And Difficult Times Lie Ahead."
"75","Why are they here?"
"76","One Way… One Fate… One Hero."
"77","Remember Philly!"
"78","4 amazing magicians. 3 impossible heists. 1 billion dollars. This is no illusion."
"79","Evil Must Be Confronted."
"80","From J.K. Rowling's wizarding world."
"81","A Hero Will Rise."
"82","Run - Remember - Survive"
"83","Be our guest."
"84","Life's greatest adventure is finding your place in the Circle of Life."
"85","Don't set him off."
"86","Only the act of true love will thaw a frozen heart."
"87","Dark Secrets Revealed"
"88"," "
"89","Sometimes you have to reach into someone else's world to find out what's missing in your own."
"90","With great power comes great responsibility."
"91","Jack is back!"
"92","No gut, no glory"
"93","All roads lead to this"
"94","Witness the moment that will change our world."
"95","The Search for Our Beginning Could Lead to Our End."
"96","The mission is a man."
"97","A Rebellion Built on Hope"
"98","Spartans, prepare for glory!"
"99","Go for the kill."
"100","Live Forever Or Die Trying."
